timestamp,open_price,high_price,low_price,close_price,volume
2025-06-18 17:00:00,1.2908,1.3064,1.2843,1.3020,1728513
2025-06-18 18:00:00,1.3020,1.3131,1.2916,1.2916,2106514
2025-06-18 19:00:00,1.2915,1.3119,1.2894,1.2982,1695902
2025-06-18 20:00:00,1.2980,1.3289,1.2944,1.3259,1710445
2025-06-18 21:00:00,1.3260,1.3306,1.3175,1.3206,1271699
2025-06-18 22:00:00,1.3205,1.3208,1.3102,1.3115,973118
2025-06-18 23:00:00,1.3116,1.3182,1.3058,1.3134,718889
2025-06-19 00:00:00,1.3135,1.3277,1.3097,1.3159,1330238
2025-06-19 01:00:00,1.3160,1.3186,1.3070,1.3142,1199907
2025-06-19 02:00:00,1.3142,1.3267,1.3134,1.3187,1264997
2025-06-19 03:00:00,1.3186,1.3254,1.3158,1.3244,869634
2025-06-19 04:00:00,1.3246,1.3278,1.3207,1.3277,870666
2025-06-19 05:00:00,1.3277,1.3375,1.3277,1.3348,1181919
2025-06-19 06:00:00,1.3347,1.3475,1.3300,1.3453,1442314
2025-06-19 07:00:00,1.3454,1.3513,1.3326,1.3418,1502058
2025-06-19 08:00:00,1.3418,1.3513,1.3308,1.3314,1716407
2025-06-19 09:00:00,1.3313,1.3410,1.3300,1.3335,1086563
2025-06-19 10:00:00,1.3335,1.3370,1.3243,1.3359,1232741
2025-06-19 11:00:00,1.3358,1.3394,1.3282,1.3367,942912
2025-06-19 12:00:00,1.3366,1.3366,1.3261,1.3306,944293
2025-06-19 13:00:00,1.3307,1.3332,1.3211,1.3226,752465
2025-06-19 14:00:00,1.3226,1.3290,1.3153,1.3186,1011465
2025-06-19 15:00:00,1.3188,1.3228,1.3109,1.3181,1165636
2025-06-19 16:00:00,1.3180,1.3221,1.3085,1.3089,1210480
2025-06-19 17:00:00,1.3089,1.3286,1.3066,1.3248,1542100
2025-06-19 18:00:00,1.3248,1.3349,1.3236,1.3318,1055025
2025-06-19 19:00:00,1.3317,1.3358,1.3191,1.3195,665051
2025-06-19 20:00:00,1.3195,1.3277,1.3181,1.3210,630972
2025-06-19 21:00:00,1.3210,1.3242,1.3093,1.3224,876996
2025-06-19 22:00:00,1.3225,1.3291,1.3173,1.3173,830546
2025-06-19 23:00:00,1.3172,1.3173,1.3085,1.3159,654839
2025-06-20 00:00:00,1.3160,1.3217,1.3093,1.3146,874143
2025-06-20 01:00:00,1.3148,1.3160,1.3062,1.3139,709577
2025-06-20 02:00:00,1.3139,1.3149,1.3019,1.3070,806546
2025-06-20 03:00:00,1.3069,1.3097,1.3001,1.3081,941438
2025-06-20 04:00:00,1.3081,1.3083,1.2919,1.2947,1131564
2025-06-20 05:00:00,1.2947,1.3040,1.2908,1.3016,946054
2025-06-20 06:00:00,1.3016,1.3113,1.2982,1.3050,908306
2025-06-20 07:00:00,1.3050,1.3202,1.3039,1.3163,1388947
2025-06-20 08:00:00,1.3165,1.3223,1.3104,1.3111,1650984
2025-06-20 09:00:00,1.3111,1.3139,1.3063,1.3121,904236
2025-06-20 10:00:00,1.3121,1.3179,1.3083,1.3171,540109
